INDEX:1000:<ulong>,origin_z:1000:<float>,value:1000:<float>,time:1000:<float>
0,-5,0.0344406142831,87
1,-4.98999977112,0.0344406142831,87
2,-4.98000001907,0.0344406142831,87
3,-4.96999979019,0.0344406142831,87
4,-4.96000003815,0.0344406142831,87
5,-4.94999980927,0.0344406142831,87
6,-4.94000005722,0.0344406142831,87
7,-4.92999982834,0.0344406142831,87
8,-4.92000007629,0.0344406142831,87
9,-4.90999984741,0.0344406142831,87
10,-4.90000009537,0.0722389221191,88
11,-4.88999986649,0.0722389221191,88
12,-4.88000011444,0.0722389221191,88
13,-4.86999988556,0.0722389221191,88
14,-4.86000013351,0.0722389221191,88
15,-4.84999990463,0.0722389221191,88
16,-4.84000015259,0.0722389221191,88
17,-4.82999992371,0.0722389221191,88
18,-4.82000017166,0.0722389221191,88
19,-4.80999994278,0.0722389221191,88
20,-4.80000019073,0.0239715576172,88
21,-4.78999996185,0.0239715576172,88
22,-4.78000020981,0.0239715576172,88
23,-4.76999998093,0.0239715576172,88
24,-4.76000022888,0.0239715576172,88
25,-4.75,0.0239715576172,88
26,-4.73999977112,0.0239715576172,88
27,-4.73000001907,0.0239715576172,88
28,-4.71999979019,0.0239715576172,88
29,-4.71000003815,0.0239715576172,88
30,-4.69999980927,0.0647903457284,89
31,-4.69000005722,0.0647903457284,89
32,-4.67999982834,0.0647903457284,89
33,-4.67000007629,0.0647903457284,89
34,-4.65999984741,0.0647903457284,89
35,-4.65000009537,0.0647903457284,89
36,-4.63999986649,0.0647903457284,89
37,-4.63000011444,0.0647903457284,89
38,-4.61999988556,0.0647903457284,89
39,-4.61000013351,0.0647903457284,89
40,-4.59999990463,0.0184829719365,89
41,-4.59000015259,0.0184829719365,89
42,-4.57999992371,0.0184829719365,89
43,-4.57000017166,0.0184829719365,89
44,-4.55999994278,0.0184829719365,89
45,-4.55000019073,0.0184829719365,89
46,-4.53999996185,0.0184829719365,89
47,-4.53000020981,0.0184829719365,89
48,-4.51999998093,0.0184829719365,89
49,-4.51000022888,0.0184829719365,89
50,-4.5,0.062306214124,90
51,-4.48999977112,0.062306214124,90
52,-4.48000001907,0.062306214124,90
53,-4.47000026703,0.062306214124,90
54,-4.46000003815,0.062306214124,90
55,-4.44999980927,0.062306214124,90
56,-4.44000005722,0.062306214124,90
57,-4.42999982834,0.062306214124,90
58,-4.42000007629,0.062306214124,90
59,-4.40999984741,0.062306214124,90
60,-4.40000009537,0.0179840084165,90
61,-4.38999986649,0.0179840084165,90
62,-4.38000011444,0.0179840084165,90
63,-4.36999988556,0.0179840084165,90
64,-4.36000013351,0.0179840084165,90
65,-4.34999990463,0.0179840084165,90
66,-4.34000015259,0.0179840084165,90
67,-4.32999992371,0.0179840084165,90
68,-4.32000017166,0.0179840084165,90
69,-4.30999994278,0.0179840084165,90
70,-4.30000019073,0.0647903457284,91
71,-4.28999996185,0.0647903457284,91
72,-4.28000020981,0.0647903457284,91
73,-4.26999998093,0.0647903457284,91
74,-4.26000022888,0.0647903457284,91
75,-4.25,0.0647903457284,91
76,-4.23999977112,0.0647903457284,91
77,-4.23000001907,0.0647903457284,91
78,-4.22000026703,0.0647903457284,91
79,-4.21000003815,0.0647903457284,91
80,-4.19999980927,0.0224746707827,91
81,-4.19000005722,0.0224746707827,91
82,-4.17999982834,0.0224746707827,91
83,-4.17000007629,0.0224746707827,91
84,-4.15999984741,0.0224746707827,91
85,-4.15000009537,0.0224746707827,91
86,-4.13999986649,0.0224746707827,91
87,-4.13000011444,0.0224746707827,91
88,-4.11999988556,0.0224746707827,91
89,-4.11000013351,0.0224746707827,91
90,-4.09999990463,0.0722389221191,92
91,-4.09000015259,0.0722389221191,92
92,-4.07999992371,0.0722389221191,92
93,-4.07000017166,0.0722389221191,92
94,-4.05999994278,0.0722389221191,92
95,-4.05000019073,0.0722389221191,92
96,-4.03999996185,0.0722389221191,92
97,-4.03000020981,0.0722389221191,92
98,-4.01999998093,0.0722389221191,92
99,-4.01000022888,0.0722389221191,92
100,-4,0.0319488532841,92
101,-3.99000000954,0.0319488532841,92
102,-3.98000001907,0.0319488532841,92
103,-3.97000002861,0.0319488532841,92
104,-3.96000003815,0.0319488532841,92
105,-3.95000004768,0.0319488532841,92
106,-3.94000005722,0.0319488532841,92
107,-3.93000006676,0.0319488532841,92
108,-3.92000007629,0.0319488532841,92
109,-3.90999984741,0.0319488532841,92
110,-3.90000009537,0.0846420302987,93
111,-3.88999986649,0.0846420302987,93
112,-3.88000011444,0.0846420302987,93
113,-3.86999988556,0.0846420302987,93
114,-3.86000013351,0.0846420302987,93
115,-3.84999990463,0.0846420302987,93
116,-3.84000015259,0.0846420302987,93
117,-3.82999992371,0.0846420302987,93
118,-3.82000017166,0.0846420302987,93
119,-3.80999994278,0.0846420302987,93
120,-3.80000019073,0.0463920608163,93
121,-3.78999996185,0.0463920608163,93
122,-3.77999997139,0.0463920608163,93
123,-3.76999998093,0.0463920608163,93
124,-3.75999999046,0.0463920608163,93
125,-3.75,0.0463920608163,93
126,-3.74000000954,0.0463920608163,93
127,-3.73000001907,0.0463920608163,93
128,-3.72000002861,0.0463920608163,93
129,-3.71000003815,0.0463920608163,93
130,-3.70000004768,0.00899581890553,93
131,-3.69000005722,0.00899581890553,93
132,-3.68000006676,0.00899581890553,93
133,-3.67000007629,0.00899581890553,93
134,-3.66000008583,0.00899581890553,93
135,-3.65000009537,0.00899581890553,93
136,-3.63999986649,0.00899581890553,93
137,-3.63000011444,0.00899581890553,93
138,-3.61999988556,0.00899581890553,93
139,-3.61000013351,0.00899581890553,93
140,-3.59999990463,0.0657836943865,94
141,-3.59000015259,0.0657836943865,94
142,-3.57999992371,0.0657836943865,94
143,-3.57000017166,0.0657836943865,94
144,-3.55999994278,0.0657836943865,94
145,-3.55000019073,0.0657836943865,94
146,-3.53999996185,0.0657836943865,94
147,-3.53000020981,0.0657836943865,94
148,-3.51999998093,0.0657836943865,94
149,-3.50999999046,0.0657836943865,94
150,-3.5,0.030453491956,94
151,-3.49000000954,0.030453491956,94
152,-3.48000001907,0.030453491956,94
153,-3.47000002861,0.030453491956,94
154,-3.46000003815,0.030453491956,94
155,-3.45000004768,0.030453491956,94
156,-3.44000005722,0.030453491956,94
157,-3.43000006676,0.030453491956,94
158,-3.42000007629,0.030453491956,94
159,-3.41000008583,0.030453491956,94
160,-3.40000009537,0.0900939926505,95
161,-3.38999986649,0.0900939926505,95
162,-3.38000011444,0.0900939926505,95
163,-3.36999988556,0.0900939926505,95
164,-3.36000013351,0.0900939926505,95
165,-3.34999990463,0.0900939926505,95
166,-3.34000015259,0.0900939926505,95
167,-3.32999992371,0.0900939926505,95
168,-3.32000017166,0.0900939926505,95
169,-3.30999994278,0.0900939926505,95
170,-3.30000019073,0.0568382255733,95
171,-3.28999996185,0.0568382255733,95
172,-3.28000020981,0.0568382255733,95
173,-3.26999998093,0.0568382255733,95
174,-3.25999999046,0.0568382255733,95
175,-3.25,0.0568382255733,95
176,-3.24000000954,0.0568382255733,95
177,-3.23000001907,0.0568382255733,95
178,-3.22000002861,0.0568382255733,95
179,-3.21000003815,0.0568382255733,95
180,-3.20000004768,0.0244697574526,95
181,-3.19000005722,0.0244697574526,95
182,-3.18000006676,0.0244697574526,95
183,-3.17000007629,0.0244697574526,95
184,-3.16000008583,0.0244697574526,95
185,-3.15000009537,0.0244697574526,95
186,-3.13999986649,0.0244697574526,95
187,-3.13000011444,0.0244697574526,95
188,-3.11999988556,0.0244697574526,95
189,-3.11000013351,0.0244697574526,95
190,-3.09999990463,0.0881118774414,96
191,-3.09000015259,0.0881118774414,96
